label,vectorMemory,reranker,adapter,index,dynamics,archiveBrains,archiveTracks,archiveObservations,trackLabel,cold,gen,popN,medCheckpoints,p90Checkpoints,maxCheckpoints,wallBumps,stillAlive,survival5s,survival10s,survivalEnd,bestFitness,bestLaps,bestLapMin,genSeconds
cold-rect,true,auto,sona,euclidean,false,0,0,0,Rectangle,true,0,1000,0,0,2,492,508,0.532,0.515,0.508,2,0,,15
cold-rect,true,auto,sona,euclidean,false,1,0,0,Rectangle,true,1,1000,0,2,3,404,596,0.693,0.64,0.596,3,0,,15
cold-rect,true,auto,sona,euclidean,false,2,0,1,Rectangle,true,2,1000,0,2,3,520,480,0.584,0.516,0.48,4,1,13.83,15
cold-rect,true,auto,sona,euclidean,false,3,0,2,Rectangle,true,3,1000,0,2,3,505,495,0.607,0.528,0.495,5,1,12.45,15
cold-rect,true,auto,sona,euclidean,false,4,0,3,Rectangle,true,4,1000,0,2,3,594,406,0.527,0.439,0.406,5,1,12.22,15
cold-rect,true,auto,sona,euclidean,false,5,0,4,Rectangle,true,5,1000,0,1,3,601,399,0.532,0.434,0.399,5,1,12.22,15
cold-rect,true,auto,sona,euclidean,false,6,0,5,Rectangle,true,6,1000,0,1,3,610,390,0.493,0.414,0.39,5,1,12.17,15
cold-rect,true,auto,sona,euclidean,false,7,0,6,Rectangle,true,7,1000,0,1,3,605,395,0.504,0.426,0.395,5,1,12.22,15
cold-rect,true,auto,sona,euclidean,false,8,0,7,Rectangle,true,8,1000,0,1,3,657,343,0.474,0.377,0.343,5,1,12.17,15
cold-rect,true,auto,sona,euclidean,false,9,0,8,Rectangle,true,9,1000,0,1,3,650,350,0.455,0.376,0.35,5,1,12.22,15
cold-rect,true,auto,sona,euclidean,false,10,0,9,Rectangle,true,10,1000,0,1,3,624,376,0.487,0.397,0.376,4,1,12.95,15
cold-rect,true,auto,sona,euclidean,false,11,0,10,Rectangle,true,11,1000,0,1,3,667,333,0.455,0.356,0.333,5,1,12.17,15
cold-rect,true,auto,sona,euclidean,false,12,0,11,Rectangle,true,12,1000,0,1,3,674,326,0.412,0.347,0.326,5,1,12.12,15
cold-rect,true,auto,sona,euclidean,false,13,0,12,Rectangle,true,13,1000,0,1,3,675,325,0.426,0.351,0.325,5,1,11.15,15
cold-rect,true,auto,sona,euclidean,false,14,0,13,Rectangle,true,14,1000,0,1,3,675,325,0.424,0.342,0.325,5,1,12.28,15
cold-rect,true,auto,sona,euclidean,false,15,0,14,Rectangle,true,15,1000,0,1,3,660,340,0.434,0.358,0.34,5,1,11.72,15
cold-rect,true,auto,sona,euclidean,false,16,0,15,Rectangle,true,16,1000,0,1,3,674,326,0.439,0.343,0.326,5,1,11.5,15
cold-rect,true,auto,sona,euclidean,false,17,0,15,Rectangle,true,17,1000,0,1,3,657,343,0.429,0.36,0.343,5,1,11.32,15
cold-rect,true,auto,sona,euclidean,false,18,0,16,Rectangle,true,18,1000,0,1,3,628,372,0.463,0.401,0.372,5,1,12.08,15
cold-rect,true,auto,sona,euclidean,false,19,0,17,Rectangle,true,19,1000,0,1,3,644,356,0.434,0.369,0.356,5,1,10.87,15
cold-rect,true,auto,sona,euclidean,false,20,0,19,Rectangle,true,20,1000,0,1,3,663,337,0.408,0.353,0.337,5,1,11.53,15
cold-rect,true,auto,sona,euclidean,false,21,0,20,Rectangle,true,21,1000,0,1,3,705,295,0.393,0.321,0.295,6,1,10.8,15
cold-rect,true,auto,sona,euclidean,false,22,0,20,Rectangle,true,22,1000,0,1,3,639,361,0.457,0.39,0.361,6,1,10.67,15
cold-rect,true,auto,sona,euclidean,false,23,0,21,Rectangle,true,23,1000,0,1,3,626,374,0.458,0.391,0.374,6,1,10.67,15
cold-rect,true,auto,sona,euclidean,false,24,0,23,Rectangle,true,24,1000,0,1,3,609,391,0.462,0.405,0.391,6,1,10.67,15
cold-rect,true,auto,sona,euclidean,false,25,0,24,Rectangle,true,25,1000,0,1,3,628,372,0.451,0.387,0.372,6,1,10.68,15
cold-rect,true,auto,sona,euclidean,false,26,0,25,Rectangle,true,26,1000,0,1,3,633,367,0.439,0.382,0.367,6,1,10.67,15
cold-rect,true,auto,sona,euclidean,false,27,0,26,Rectangle,true,27,1000,0,1,3,615,385,0.454,0.398,0.385,6,1,10.67,15
cold-rect,true,auto,sona,euclidean,false,28,0,27,Rectangle,true,28,1000,0,1,3,597,403,0.469,0.412,0.403,6,1,10.68,15
cold-rect,true,auto,sona,euclidean,false,29,0,28,Rectangle,true,29,1000,0,1,3,608,392,0.461,0.408,0.392,6,1,10.67,15
