label,vectorMemory,reranker,adapter,index,dynamics,archiveBrains,archiveTracks,archiveObservations,trackLabel,cold,gen,popN,medCheckpoints,p90Checkpoints,maxCheckpoints,wallBumps,stillAlive,survival5s,survival10s,survivalEnd,bestFitness,bestLaps,bestLapMin,genSeconds
cold-tri,true,auto,sona,euclidean,false,0,0,0,Triangle,true,0,1000,0,0,0,483,517,0.535,0.521,0.517,0,0,,15
cold-tri,true,auto,sona,euclidean,false,1,0,0,Triangle,true,1,1000,0,0,0,756,244,0.255,0.246,0.244,0,0,,15
cold-tri,true,auto,sona,euclidean,false,2,0,1,Triangle,true,2,1000,0,0,0,752,248,0.263,0.249,0.248,0,0,,15
cold-tri,true,auto,sona,euclidean,false,3,0,2,Triangle,true,3,1000,0,0,0,736,264,0.281,0.265,0.264,0,0,,15
cold-tri,true,auto,sona,euclidean,false,4,0,3,Triangle,true,4,1000,0,0,0,742,258,0.27,0.259,0.258,0,0,,15
cold-tri,true,auto,sona,euclidean,false,5,0,4,Triangle,true,5,1000,0,0,0,742,258,0.268,0.261,0.258,0,0,,15
cold-tri,true,auto,sona,euclidean,false,6,0,5,Triangle,true,6,1000,0,0,0,738,262,0.272,0.263,0.262,0,0,,15
cold-tri,true,auto,sona,euclidean,false,7,0,6,Triangle,true,7,1000,0,0,0,755,245,0.259,0.251,0.245,0,0,,15
cold-tri,true,auto,sona,euclidean,false,8,0,7,Triangle,true,8,1000,0,0,0,746,254,0.269,0.256,0.254,0,0,,15
cold-tri,true,auto,sona,euclidean,false,9,0,8,Triangle,true,9,1000,0,0,0,750,250,0.26,0.253,0.25,0,0,,15
cold-tri,true,auto,sona,euclidean,false,10,0,9,Triangle,true,10,1000,0,0,1,755,245,0.26,0.248,0.245,1,0,,15
cold-tri,true,auto,sona,euclidean,false,11,0,10,Triangle,true,11,1000,0,0,0,747,253,0.267,0.256,0.253,0,0,,15
cold-tri,true,auto,sona,euclidean,false,12,0,11,Triangle,true,12,1000,0,0,0,743,257,0.267,0.26,0.257,0,0,,15
cold-tri,true,auto,sona,euclidean,false,13,0,12,Triangle,true,13,1000,0,0,1,765,235,0.253,0.241,0.235,1,0,,15
cold-tri,true,auto,sona,euclidean,false,14,0,13,Triangle,true,14,1000,0,0,1,741,259,0.273,0.261,0.259,1,0,,15
cold-tri,true,auto,sona,euclidean,false,15,0,14,Triangle,true,15,1000,0,0,0,750,250,0.254,0.25,0.25,0,0,,15
cold-tri,true,auto,sona,euclidean,false,16,0,15,Triangle,true,16,1000,0,0,0,752,248,0.261,0.25,0.248,0,0,,15
cold-tri,true,auto,sona,euclidean,false,17,0,15,Triangle,true,17,1000,0,0,1,732,268,0.278,0.271,0.268,1,0,,15
cold-tri,true,auto,sona,euclidean,false,18,0,16,Triangle,true,18,1000,0,0,0,751,249,0.26,0.25,0.249,0,0,,15
cold-tri,true,auto,sona,euclidean,false,19,0,18,Triangle,true,19,1000,0,0,1,748,252,0.259,0.253,0.252,1,0,,15
cold-tri,true,auto,sona,euclidean,false,20,0,19,Triangle,true,20,1000,0,0,0,767,233,0.249,0.234,0.233,0,0,,15
cold-tri,true,auto,sona,euclidean,false,21,0,20,Triangle,true,21,1000,0,0,1,771,229,0.241,0.235,0.229,1,0,,15
cold-tri,true,auto,sona,euclidean,false,22,0,21,Triangle,true,22,1000,0,0,1,761,239,0.251,0.241,0.239,1,0,,15
cold-tri,true,auto,sona,euclidean,false,23,0,22,Triangle,true,23,1000,0,0,1,745,255,0.263,0.256,0.255,1,0,,15
cold-tri,true,auto,sona,euclidean,false,24,0,23,Triangle,true,24,1000,0,0,1,769,231,0.241,0.232,0.231,1,0,,15
cold-tri,true,auto,sona,euclidean,false,25,0,24,Triangle,true,25,1000,0,0,0,763,237,0.245,0.24,0.237,0,0,,15
cold-tri,true,auto,sona,euclidean,false,26,0,25,Triangle,true,26,1000,0,0,0,764,236,0.243,0.239,0.236,0,0,,15
cold-tri,true,auto,sona,euclidean,false,27,0,25,Triangle,true,27,1000,0,0,1,727,273,0.276,0.274,0.273,1,0,,15
cold-tri,true,auto,sona,euclidean,false,28,0,25,Triangle,true,28,1000,0,0,1,773,227,0.234,0.228,0.227,1,0,,15
cold-tri,true,auto,sona,euclidean,false,29,0,26,Triangle,true,29,1000,0,0,0,769,231,0.244,0.235,0.231,0,0,,15
