label,vectorMemory,reranker,adapter,index,dynamics,archiveBrains,archiveTracks,archiveObservations,trackLabel,cold,gen,popN,medCheckpoints,p90Checkpoints,maxCheckpoints,wallBumps,stillAlive,survival5s,survival10s,survivalEnd,bestFitness,bestLaps,bestLapMin,genSeconds
warm-rect,true,auto,sona,euclidean,false,893,0,758,Rectangle,false,893,1000,0,1,3,621,379,0.431,0.389,0.379,6,1,10.72,15
warm-rect,true,auto,sona,euclidean,false,894,0,761,Rectangle,false,894,1000,0,1,3,593,407,0.443,0.413,0.407,6,1,10.67,15
warm-rect,true,auto,sona,euclidean,false,895,0,761,Rectangle,false,895,1000,0,1,3,579,421,0.465,0.432,0.421,6,1,10.67,15
warm-rect,true,auto,sona,euclidean,false,896,0,761,Rectangle,false,896,1000,0,1,3,592,408,0.453,0.416,0.408,6,1,10.67,15
warm-rect,true,auto,sona,euclidean,false,897,0,761,Rectangle,false,897,1000,0,1,3,614,386,0.429,0.393,0.386,6,1,10.67,15
warm-rect,true,auto,sona,euclidean,false,898,0,763,Rectangle,false,898,1000,0,1,3,595,405,0.466,0.416,0.405,6,1,10.67,15
warm-rect,true,auto,sona,euclidean,false,899,0,763,Rectangle,false,899,1000,0,1,3,622,378,0.431,0.387,0.378,6,1,10.67,15
warm-rect,true,auto,sona,euclidean,false,900,0,763,Rectangle,false,900,1000,0,1,3,595,405,0.457,0.414,0.405,6,1,10.67,15
warm-rect,true,auto,sona,euclidean,false,901,0,765,Rectangle,false,901,1000,0,1,3,594,406,0.455,0.414,0.406,6,1,10.68,15
warm-rect,true,auto,sona,euclidean,false,902,0,765,Rectangle,false,902,1000,0,1,3,609,391,0.45,0.398,0.391,6,1,10.67,15
warm-rect,true,auto,sona,euclidean,false,903,0,766,Rectangle,false,903,1000,0,1,3,612,388,0.46,0.404,0.388,5,1,11.08,15
warm-rect,true,auto,sona,euclidean,false,904,0,768,Rectangle,false,904,1000,0,1,3,616,384,0.431,0.394,0.384,6,1,10.67,15
warm-rect,true,auto,sona,euclidean,false,905,0,768,Rectangle,false,905,1000,0,1,3,610,390,0.442,0.4,0.39,6,1,10.67,15
warm-rect,true,auto,sona,euclidean,false,906,0,768,Rectangle,false,906,1000,0,1,3,569,431,0.486,0.439,0.431,6,1,10.67,15
warm-rect,true,auto,sona,euclidean,false,907,0,769,Rectangle,false,907,1000,0,1,3,595,405,0.45,0.417,0.405,6,1,10.67,15
warm-rect,true,auto,sona,euclidean,false,908,0,769,Rectangle,false,908,1000,0,1,3,594,406,0.447,0.411,0.406,6,1,10.45,15
warm-rect,true,auto,sona,euclidean,false,909,0,769,Rectangle,false,909,1000,0,1,3,603,397,0.452,0.409,0.397,6,1,10.62,15
warm-rect,true,auto,sona,euclidean,false,910,0,771,Rectangle,false,910,1000,0,1,3,603,397,0.434,0.405,0.397,6,1,10.67,15
warm-rect,true,auto,sona,euclidean,false,911,0,771,Rectangle,false,911,1000,0,1,3,591,409,0.47,0.419,0.409,6,1,10.67,15
warm-rect,true,auto,sona,euclidean,false,912,0,771,Rectangle,false,912,1000,0,1,3,604,396,0.449,0.409,0.396,6,1,10.67,15
warm-rect,true,auto,sona,euclidean,false,913,0,772,Rectangle,false,913,1000,0,1,3,600,400,0.457,0.417,0.4,6,1,10.67,15
warm-rect,true,auto,sona,euclidean,false,914,0,773,Rectangle,false,914,1000,0,1,3,589,411,0.465,0.419,0.411,6,1,10.67,15
warm-rect,true,auto,sona,euclidean,false,915,0,773,Rectangle,false,915,1000,0,1,3,617,383,0.443,0.39,0.383,6,1,10.68,15
warm-rect,true,auto,sona,euclidean,false,916,0,773,Rectangle,false,916,1000,0,1,3,601,399,0.452,0.412,0.399,6,1,10.45,15
warm-rect,true,auto,sona,euclidean,false,917,0,774,Rectangle,false,917,1000,0,1,3,599,401,0.459,0.41,0.401,6,1,10.68,15
warm-rect,true,auto,sona,euclidean,false,918,0,775,Rectangle,false,918,1000,0,1,3,588,412,0.465,0.421,0.412,6,1,10.67,15
warm-rect,true,auto,sona,euclidean,false,919,0,777,Rectangle,false,919,1000,0,1,3,567,433,0.476,0.439,0.433,6,1,10.72,15
warm-rect,true,auto,sona,euclidean,false,920,0,778,Rectangle,false,920,1000,0,1,3,596,404,0.454,0.419,0.404,6,1,10.67,15
warm-rect,true,auto,sona,euclidean,false,921,0,779,Rectangle,false,921,1000,0,1,3,604,396,0.451,0.404,0.396,6,1,10.67,15
warm-rect,true,auto,sona,euclidean,false,922,0,780,Rectangle,false,922,1000,0,1,3,562,438,0.478,0.449,0.438,6,1,10.67,15
