label,vectorMemory,reranker,adapter,index,dynamics,archiveBrains,archiveTracks,archiveObservations,trackLabel,cold,gen,popN,medCheckpoints,p90Checkpoints,maxCheckpoints,wallBumps,stillAlive,survival5s,survival10s,survivalEnd,bestFitness,bestLaps,bestLapMin,genSeconds
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1036,0,877,Triangle,false,1,1000,0,0,0,594,406,0.436,0.413,0.406,0,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,2,1000,0,0,0,576,424,0.446,0.429,0.424,0,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,3,1000,0,0,2,615,385,0.412,0.392,0.385,2,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,4,1000,0,0,0,588,412,0.438,0.418,0.412,0,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,5,1000,0,0,2,619,381,0.41,0.386,0.381,2,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,6,1000,0,0,0,596,404,0.427,0.407,0.404,0,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,7,1000,0,0,1,591,409,0.452,0.419,0.409,1,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,8,1000,0,0,0,596,404,0.435,0.411,0.404,0,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,9,1000,0,0,2,604,396,0.434,0.404,0.396,2,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,10,1000,0,0,2,625,375,0.405,0.379,0.375,2,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,11,1000,0,0,0,599,401,0.435,0.408,0.401,0,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,12,1000,0,0,1,600,400,0.432,0.405,0.4,1,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,13,1000,0,0,0,612,388,0.422,0.396,0.388,0,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,14,1000,0,0,0,617,383,0.418,0.389,0.383,0,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,15,1000,0,0,2,595,405,0.437,0.41,0.405,2,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,16,1000,0,0,1,596,404,0.437,0.408,0.404,1,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,17,1000,0,0,1,577,423,0.454,0.431,0.423,1,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,18,1000,0,0,2,564,436,0.458,0.441,0.436,2,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,19,1000,0,0,0,601,399,0.426,0.402,0.399,0,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,20,1000,0,0,0,595,405,0.433,0.409,0.405,0,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,21,1000,0,0,1,612,388,0.426,0.398,0.388,1,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,22,1000,0,0,0,592,408,0.437,0.416,0.408,0,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,23,1000,0,0,0,582,418,0.462,0.425,0.418,0,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,24,1000,0,0,0,587,413,0.44,0.418,0.413,0,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,25,1000,0,0,0,588,412,0.442,0.419,0.412,0,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,26,1000,0,0,2,601,399,0.434,0.401,0.399,2,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,27,1000,0,0,0,623,377,0.402,0.381,0.377,0,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,28,1000,0,0,2,612,388,0.423,0.394,0.388,2,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,29,1000,0,0,0,606,394,0.42,0.404,0.394,0,0,,15
warm-tri-rect-seeded,true,auto,sona,euclidean,false,1037,0,878,Triangle,false,30,1000,0,0,1,607,393,0.428,0.4,0.393,1,0,,15
