label,vectorMemory,reranker,adapter,index,dynamics,archiveBrains,archiveTracks,archiveObservations,trackLabel,cold,gen,popN,medCheckpoints,p90Checkpoints,maxCheckpoints,wallBumps,stillAlive,survival5s,survival10s,survivalEnd,bestFitness,bestLaps,bestLapMin,genSeconds
phase1-cold-rect,true,auto,sona,euclidean,false,0,0,0,Rectangle,true,0,1000,1,1,1,503,497,0.515,0.499,0.497,1,0,,15
phase1-cold-rect,true,auto,sona,euclidean,false,1,0,0,Rectangle,true,1,1000,1,1,2,267,733,0.756,0.738,0.733,2,0,,15
phase1-cold-rect,true,auto,sona,euclidean,false,2,0,1,Rectangle,true,2,1000,1,1,3,408,592,0.611,0.595,0.592,3,0,,15
phase1-cold-rect,true,auto,sona,euclidean,false,3,0,2,Rectangle,true,3,1000,1,1,3,419,581,0.608,0.589,0.581,4,1,12.93,15
phase1-cold-rect,true,auto,sona,euclidean,false,4,0,3,Rectangle,true,4,1000,1,1,3,504,496,0.536,0.505,0.496,4,1,12.15,15
phase1-cold-rect,true,auto,sona,euclidean,false,5,0,4,Rectangle,true,5,1000,1,1,3,499,501,0.545,0.518,0.501,4,1,13.8,15
phase1-cold-rect,true,auto,sona,euclidean,false,6,0,5,Rectangle,true,6,1000,1,1,3,463,537,0.574,0.551,0.537,4,1,12.58,15
phase1-cold-rect,true,auto,sona,euclidean,false,7,0,6,Rectangle,true,7,1000,1,1,3,487,513,0.551,0.524,0.513,4,1,12.52,15
phase1-cold-rect,true,auto,sona,euclidean,false,8,0,7,Rectangle,true,8,1000,1,1,3,466,534,0.572,0.544,0.534,4,1,11.32,15
phase1-cold-rect,true,auto,sona,euclidean,false,9,0,8,Rectangle,true,9,1000,1,1,2,472,528,0.553,0.536,0.528,4,1,11.68,15
phase1-cold-rect,true,auto,sona,euclidean,false,10,0,9,Rectangle,true,10,1000,1,1,3,530,470,0.503,0.474,0.47,4,1,11.23,15
phase1-cold-rect,true,auto,sona,euclidean,false,11,0,10,Rectangle,true,11,1000,1,1,3,523,477,0.512,0.484,0.477,5,1,10.25,15
phase1-cold-rect,true,auto,sona,euclidean,false,12,0,11,Rectangle,true,12,1000,1,1,3,503,497,0.524,0.506,0.497,5,1,10.4,15
phase1-cold-rect,true,auto,sona,euclidean,false,13,0,12,Rectangle,true,13,1000,1,1,3,532,468,0.516,0.48,0.468,4,1,11.9,15
phase1-cold-rect,true,auto,sona,euclidean,false,14,0,13,Rectangle,true,14,1000,1,1,3,534,466,0.501,0.478,0.466,5,1,10.05,15
phase1-cold-rect,true,auto,sona,euclidean,false,15,0,13,Rectangle,true,15,1000,1,1,3,574,426,0.47,0.44,0.426,4,1,12.52,15
phase1-cold-rect,true,auto,sona,euclidean,false,16,0,14,Rectangle,true,16,1000,1,1,3,579,421,0.459,0.438,0.421,4,1,12.48,15
phase1-cold-rect,true,auto,sona,euclidean,false,17,0,15,Rectangle,true,17,1000,1,1,3,557,443,0.478,0.448,0.443,4,1,10.72,15
phase1-cold-rect,true,auto,sona,euclidean,false,18,0,16,Rectangle,true,18,1000,1,1,3,567,433,0.478,0.444,0.433,5,1,10.27,15
phase1-cold-rect,true,auto,sona,euclidean,false,19,0,17,Rectangle,true,19,1000,1,1,2,594,406,0.443,0.413,0.406,5,1,10.27,15
phase1-cold-rect,true,auto,sona,euclidean,false,20,0,18,Rectangle,true,20,1000,1,1,3,513,487,0.516,0.496,0.487,5,1,10.33,15
phase1-cold-rect,true,auto,sona,euclidean,false,21,0,19,Rectangle,true,21,1000,1,1,3,606,394,0.44,0.409,0.394,5,1,10.15,15
phase1-cold-rect,true,auto,sona,euclidean,false,22,0,21,Rectangle,true,22,1000,1,1,3,572,428,0.472,0.441,0.428,4,1,11.33,15
phase1-cold-rect,true,auto,sona,euclidean,false,23,0,22,Rectangle,true,23,1000,1,1,3,579,421,0.455,0.431,0.421,4,1,13.25,15
phase1-cold-rect,true,auto,sona,euclidean,false,24,0,22,Rectangle,true,24,1000,1,1,3,576,424,0.463,0.433,0.424,5,1,10.12,15
phase1-cold-rect,true,auto,sona,euclidean,false,25,0,23,Rectangle,true,25,1000,1,1,3,592,408,0.45,0.416,0.408,5,1,10.23,15
phase1-cold-rect,true,auto,sona,euclidean,false,26,0,24,Rectangle,true,26,1000,1,1,3,620,380,0.425,0.392,0.38,5,1,10.13,15
phase1-cold-rect,true,auto,sona,euclidean,false,27,0,25,Rectangle,true,27,1000,1,1,3,590,410,0.443,0.418,0.41,5,1,10.12,15
phase1-cold-rect,true,auto,sona,euclidean,false,28,0,26,Rectangle,true,28,1000,1,1,3,614,386,0.429,0.395,0.386,4,1,10.58,15
phase1-cold-rect,true,auto,sona,euclidean,false,29,0,27,Rectangle,true,29,1000,1,1,3,613,387,0.42,0.399,0.387,4,1,10.47,15
