label,vectorMemory,reranker,adapter,index,dynamics,archiveBrains,archiveTracks,archiveObservations,trackLabel,cold,gen,popN,medCheckpoints,p90Checkpoints,maxCheckpoints,wallBumps,stillAlive,survival5s,survival10s,survivalEnd,bestFitness,bestLaps,bestLapMin,genSeconds
phase2-cold-tri,true,auto,sona,euclidean,false,0,0,0,Triangle,true,0,1000,1,1,2,528,472,0.562,0.475,0.472,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,1,0,0,Triangle,true,1,1000,2,2,2,795,205,0.789,0.205,0.205,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,2,0,1,Triangle,true,2,1000,2,2,2,794,206,0.768,0.207,0.206,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,3,0,2,Triangle,true,3,1000,2,2,2,779,221,0.786,0.222,0.221,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,4,0,3,Triangle,true,4,1000,2,2,2,794,206,0.804,0.207,0.206,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,5,0,4,Triangle,true,5,1000,2,2,2,793,207,0.78,0.209,0.207,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,6,0,5,Triangle,true,6,1000,2,2,2,792,208,0.796,0.209,0.208,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,7,0,6,Triangle,true,7,1000,2,2,2,768,232,0.81,0.237,0.232,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,8,0,7,Triangle,true,8,1000,2,2,2,791,209,0.79,0.211,0.209,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,9,0,8,Triangle,true,9,1000,2,2,2,775,225,0.811,0.227,0.225,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,10,0,9,Triangle,true,10,1000,2,2,2,779,221,0.793,0.223,0.221,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,11,0,10,Triangle,true,11,1000,2,2,2,774,226,0.807,0.227,0.226,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,12,0,11,Triangle,true,12,1000,2,2,2,770,230,0.806,0.231,0.23,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,13,0,12,Triangle,true,13,1000,2,2,2,778,222,0.789,0.223,0.222,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,14,0,13,Triangle,true,14,1000,2,2,2,781,219,0.799,0.223,0.219,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,15,0,14,Triangle,true,15,1000,2,2,2,782,218,0.798,0.22,0.218,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,16,0,14,Triangle,true,16,1000,2,2,2,783,217,0.796,0.223,0.217,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,17,0,16,Triangle,true,17,1000,2,2,2,790,210,0.783,0.211,0.21,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,18,0,17,Triangle,true,18,1000,2,2,2,786,214,0.801,0.217,0.214,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,19,0,18,Triangle,true,19,1000,2,2,2,798,202,0.778,0.208,0.202,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,20,0,18,Triangle,true,20,1000,2,2,2,774,226,0.796,0.227,0.226,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,21,0,18,Triangle,true,21,1000,2,2,2,786,214,0.799,0.215,0.214,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,22,0,20,Triangle,true,22,1000,2,2,2,794,206,0.795,0.21,0.206,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,23,0,21,Triangle,true,23,1000,2,2,2,789,211,0.792,0.215,0.211,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,24,0,21,Triangle,true,24,1000,2,2,2,796,204,0.792,0.204,0.204,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,25,0,22,Triangle,true,25,1000,2,2,2,763,237,0.812,0.239,0.237,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,26,0,23,Triangle,true,26,1000,2,2,2,760,240,0.802,0.246,0.24,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,27,0,23,Triangle,true,27,1000,2,2,2,812,188,0.781,0.19,0.188,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,28,0,25,Triangle,true,28,1000,2,2,2,779,221,0.809,0.224,0.221,2,0,,15
phase2-cold-tri,true,auto,sona,euclidean,false,29,0,26,Triangle,true,29,1000,2,2,2,796,204,0.798,0.205,0.204,2,0,,15
