label,vectorMemory,reranker,adapter,index,dynamics,archiveBrains,archiveTracks,archiveObservations,trackLabel,cold,gen,popN,medCheckpoints,p90Checkpoints,maxCheckpoints,wallBumps,stillAlive,survival5s,survival10s,survivalEnd,bestFitness,bestLaps,bestLapMin,genSeconds
p2-rect-rep2,true,auto,sona,euclidean,false,0,0,0,Rectangle,true,0,1000,0,1,1,467,533,0.548,0.538,0.533,1,0,,15
p2-rect-rep2,true,auto,sona,euclidean,false,1,0,0,Rectangle,true,1,1000,1,1,2,750,250,0.259,0.251,0.25,2,0,,15
p2-rect-rep2,true,auto,sona,euclidean,false,2,0,1,Rectangle,true,2,1000,1,1,3,612,388,0.411,0.391,0.388,4,1,14.1,15
p2-rect-rep2,true,auto,sona,euclidean,false,3,0,2,Rectangle,true,3,1000,1,1,3,570,430,0.448,0.434,0.43,4,1,14.05,15
p2-rect-rep2,true,auto,sona,euclidean,false,4,0,3,Rectangle,true,4,1000,1,1,3,565,435,0.456,0.436,0.435,4,1,12.53,15
p2-rect-rep2,true,auto,sona,euclidean,false,5,0,4,Rectangle,true,5,1000,1,1,3,538,462,0.496,0.471,0.462,4,1,11.25,15
p2-rect-rep2,true,auto,sona,euclidean,false,6,0,5,Rectangle,true,6,1000,1,1,3,547,453,0.494,0.457,0.453,4,1,12.87,15
p2-rect-rep2,true,auto,sona,euclidean,false,7,0,6,Rectangle,true,7,1000,1,1,3,519,481,0.501,0.484,0.481,4,1,13.92,15
p2-rect-rep2,true,auto,sona,euclidean,false,8,0,7,Rectangle,true,8,1000,0,1,3,532,468,0.499,0.472,0.468,4,1,12.95,15
p2-rect-rep2,true,auto,sona,euclidean,false,9,0,8,Rectangle,true,9,1000,0,1,3,522,478,0.512,0.486,0.478,4,1,13.83,15
p2-rect-rep2,true,auto,sona,euclidean,false,10,0,9,Rectangle,true,10,1000,0,1,3,509,491,0.532,0.499,0.491,4,1,13.48,15
p2-rect-rep2,true,auto,sona,euclidean,false,11,0,10,Rectangle,true,11,1000,0,1,3,467,533,0.567,0.54,0.533,4,1,10.87,15
p2-rect-rep2,true,auto,sona,euclidean,false,12,0,11,Rectangle,true,12,1000,0,1,3,494,506,0.555,0.513,0.506,4,1,10.55,15
p2-rect-rep2,true,auto,sona,euclidean,false,13,0,12,Rectangle,true,13,1000,0,1,3,479,521,0.567,0.528,0.521,4,1,10.53,15
p2-rect-rep2,true,auto,sona,euclidean,false,14,0,13,Rectangle,true,14,1000,0,1,3,473,527,0.562,0.532,0.527,4,1,10.68,15
p2-rect-rep2,true,auto,sona,euclidean,false,15,0,13,Rectangle,true,15,1000,0,1,3,491,509,0.562,0.522,0.509,4,1,10.87,15
p2-rect-rep2,true,auto,sona,euclidean,false,16,0,15,Rectangle,true,16,1000,0,1,3,499,501,0.552,0.509,0.501,4,1,11.55,15
p2-rect-rep2,true,auto,sona,euclidean,false,17,0,15,Rectangle,true,17,1000,0,1,3,514,486,0.531,0.495,0.486,4,1,10.62,15
p2-rect-rep2,true,auto,sona,euclidean,false,18,0,17,Rectangle,true,18,1000,0,1,3,493,507,0.551,0.519,0.507,4,1,10.65,15
p2-rect-rep2,true,auto,sona,euclidean,false,19,0,17,Rectangle,true,19,1000,0,1,3,502,498,0.54,0.5,0.498,4,1,10.53,15
p2-rect-rep2,true,auto,sona,euclidean,false,20,0,18,Rectangle,true,20,1000,0,1,3,493,507,0.548,0.512,0.507,5,1,10.4,15
p2-rect-rep2,true,auto,sona,euclidean,false,21,0,19,Rectangle,true,21,1000,0,1,3,526,474,0.527,0.478,0.474,5,1,9.75,15
p2-rect-rep2,true,auto,sona,euclidean,false,22,0,21,Rectangle,true,22,1000,0,1,3,528,472,0.519,0.481,0.472,5,1,9.5,15
p2-rect-rep2,true,auto,sona,euclidean,false,23,0,22,Rectangle,true,23,1000,0,1,3,485,515,0.549,0.522,0.515,4,1,10.43,15
p2-rect-rep2,true,auto,sona,euclidean,false,24,0,23,Rectangle,true,24,1000,0,1,3,501,499,0.533,0.506,0.499,5,1,9.75,15
p2-rect-rep2,true,auto,sona,euclidean,false,25,0,23,Rectangle,true,25,1000,0,1,3,531,469,0.515,0.479,0.469,5,1,9.75,15
p2-rect-rep2,true,auto,sona,euclidean,false,26,0,24,Rectangle,true,26,1000,0,1,3,501,499,0.539,0.507,0.499,5,1,9.75,15
p2-rect-rep2,true,auto,sona,euclidean,false,27,0,26,Rectangle,true,27,1000,0,1,3,551,449,0.489,0.454,0.449,4,1,10.07,15
p2-rect-rep2,true,auto,sona,euclidean,false,28,0,27,Rectangle,true,28,1000,0,1,3,486,514,0.551,0.517,0.514,5,1,9.75,15
p2-rect-rep2,true,auto,sona,euclidean,false,29,0,27,Rectangle,true,29,1000,0,1,3,546,454,0.492,0.463,0.454,5,1,9.75,15
