label,vectorMemory,reranker,adapter,index,dynamics,archiveBrains,archiveTracks,archiveObservations,trackLabel,cold,gen,popN,medCheckpoints,p90Checkpoints,maxCheckpoints,wallBumps,stillAlive,survival5s,survival10s,survivalEnd,bestFitness,bestLaps,bestLapMin,genSeconds
p2-tri-rep2,true,auto,sona,euclidean,false,1,0,10,Triangle,true,0,1000,1,2,2,587,413,0.616,0.43,0.413,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,2,0,11,Triangle,true,1,1000,1,2,2,578,422,0.632,0.445,0.422,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,3,0,12,Triangle,true,2,1000,1,2,2,575,425,0.631,0.448,0.425,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,4,0,13,Triangle,true,3,1000,1,2,2,570,430,0.66,0.452,0.43,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,5,0,14,Triangle,true,4,1000,1,2,2,555,445,0.643,0.464,0.445,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,6,0,15,Triangle,true,5,1000,1,2,2,555,445,0.647,0.474,0.445,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,7,0,16,Triangle,true,6,1000,1,2,2,560,440,0.665,0.463,0.44,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,8,0,17,Triangle,true,7,1000,1,2,2,563,437,0.633,0.456,0.437,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,9,0,18,Triangle,true,8,1000,1,2,2,593,407,0.625,0.429,0.407,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,10,0,19,Triangle,true,9,1000,1,2,3,555,445,0.646,0.468,0.445,3,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,11,0,20,Triangle,true,10,1000,1,2,2,578,422,0.635,0.438,0.422,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,12,0,21,Triangle,true,11,1000,1,2,2,584,416,0.655,0.429,0.416,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,13,0,22,Triangle,true,12,1000,1,2,2,556,444,0.643,0.458,0.444,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,14,0,23,Triangle,true,13,1000,1,2,2,588,412,0.622,0.432,0.412,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,15,0,24,Triangle,true,14,1000,1,2,2,576,424,0.642,0.451,0.424,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,16,0,25,Triangle,true,15,1000,1,2,2,621,379,0.627,0.406,0.379,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,17,0,25,Triangle,true,16,1000,1,2,2,566,434,0.671,0.455,0.434,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,18,0,26,Triangle,true,17,1000,1,2,2,591,409,0.618,0.416,0.409,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,19,0,27,Triangle,true,18,1000,1,2,2,581,419,0.647,0.435,0.419,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,20,0,27,Triangle,true,19,1000,1,2,2,581,419,0.64,0.439,0.419,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,21,0,27,Triangle,true,20,1000,1,2,2,595,405,0.639,0.416,0.405,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,22,0,27,Triangle,true,21,1000,1,2,2,567,433,0.639,0.443,0.433,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,23,0,28,Triangle,true,22,1000,1,2,2,566,434,0.659,0.447,0.434,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,24,0,29,Triangle,true,23,1000,1,2,2,578,422,0.63,0.435,0.422,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,25,0,30,Triangle,true,24,1000,1,2,2,564,436,0.656,0.45,0.436,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,26,0,31,Triangle,true,25,1000,1,2,2,579,421,0.628,0.435,0.421,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,27,0,31,Triangle,true,26,1000,1,2,2,583,417,0.64,0.425,0.417,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,28,0,31,Triangle,true,27,1000,1,2,2,593,407,0.639,0.418,0.407,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,29,0,31,Triangle,true,28,1000,1,2,2,571,429,0.637,0.442,0.429,2,0,,15
p2-tri-rep2,true,auto,sona,euclidean,false,30,0,31,Triangle,true,29,1000,1,2,2,569,431,0.654,0.447,0.431,2,0,,15
