label,vectorMemory,reranker,adapter,index,dynamics,archiveBrains,archiveTracks,archiveObservations,trackLabel,cold,gen,popN,medCheckpoints,p90Checkpoints,maxCheckpoints,wallBumps,stillAlive,survival5s,survival10s,survivalEnd,bestFitness,bestLaps,bestLapMin,genSeconds
same-r2-cold,true,auto,sona,euclidean,false,0,0,0,Triangle,true,0,1000,1,1,2,510,490,0.579,0.496,0.49,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,1,0,0,Triangle,true,1,1000,1,2,2,773,227,0.455,0.228,0.227,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,2,0,1,Triangle,true,2,1000,1,2,2,775,225,0.471,0.228,0.225,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,3,0,2,Triangle,true,3,1000,1,2,2,748,252,0.476,0.252,0.252,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,4,0,3,Triangle,true,4,1000,1,2,2,772,228,0.451,0.229,0.228,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,5,0,4,Triangle,true,5,1000,1,2,2,792,208,0.422,0.21,0.208,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,6,0,5,Triangle,true,6,1000,1,2,2,747,253,0.488,0.255,0.253,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,7,0,6,Triangle,true,7,1000,1,2,2,783,217,0.447,0.219,0.217,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,8,0,7,Triangle,true,8,1000,1,2,2,795,205,0.448,0.205,0.205,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,9,0,8,Triangle,true,9,1000,1,2,2,784,216,0.467,0.217,0.216,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,10,0,9,Triangle,true,10,1000,1,2,2,790,210,0.454,0.211,0.21,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,11,0,10,Triangle,true,11,1000,1,2,2,769,231,0.423,0.233,0.231,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,12,0,11,Triangle,true,12,1000,1,2,2,786,214,0.431,0.218,0.214,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,13,0,12,Triangle,true,13,1000,1,2,2,779,221,0.445,0.221,0.221,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,14,0,13,Triangle,true,14,1000,1,2,2,776,224,0.443,0.225,0.224,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,15,0,14,Triangle,true,15,1000,1,2,2,770,230,0.467,0.233,0.23,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,16,0,14,Triangle,true,16,1000,1,2,2,808,192,0.428,0.193,0.192,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,17,0,15,Triangle,true,17,1000,1,2,2,774,226,0.43,0.228,0.226,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,18,0,17,Triangle,true,18,1000,1,2,2,761,239,0.456,0.242,0.239,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,19,0,18,Triangle,true,19,1000,1,2,2,780,220,0.454,0.222,0.22,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,20,0,19,Triangle,true,20,1000,1,2,2,779,221,0.448,0.222,0.221,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,21,0,19,Triangle,true,21,1000,1,2,2,788,212,0.448,0.214,0.212,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,22,0,20,Triangle,true,22,1000,1,2,2,777,223,0.446,0.225,0.223,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,23,0,21,Triangle,true,23,1000,1,2,2,768,232,0.469,0.235,0.232,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,24,0,22,Triangle,true,24,1000,1,2,2,794,206,0.449,0.207,0.206,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,25,0,22,Triangle,true,25,1000,1,2,2,744,256,0.475,0.257,0.256,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,26,0,22,Triangle,true,26,1000,1,2,2,781,219,0.455,0.22,0.219,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,27,0,24,Triangle,true,27,1000,1,2,2,765,235,0.447,0.239,0.235,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,28,0,24,Triangle,true,28,1000,1,2,2,776,224,0.439,0.224,0.224,2,0,,15
same-r2-cold,true,auto,sona,euclidean,false,29,0,25,Triangle,true,29,1000,1,2,2,772,228,0.473,0.23,0.228,2,0,,15
