label,vectorMemory,reranker,adapter,index,dynamics,archiveBrains,archiveTracks,archiveObservations,trackLabel,cold,gen,popN,medCheckpoints,p90Checkpoints,maxCheckpoints,wallBumps,stillAlive,survival5s,survival10s,survivalEnd,bestFitness,bestLaps,bestLapMin,genSeconds
same-r3-warm,true,auto,sona,euclidean,false,30,0,25,Triangle,false,30,1000,1,2,2,826,174,0.439,0.174,0.174,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,31,0,27,Triangle,false,31,1000,1,2,2,820,180,0.426,0.181,0.18,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,32,0,29,Triangle,false,32,1000,1,2,2,825,175,0.442,0.178,0.175,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,33,0,30,Triangle,false,33,1000,1,2,2,843,157,0.422,0.162,0.157,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,34,0,31,Triangle,false,34,1000,1,2,2,825,175,0.457,0.178,0.175,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,35,0,31,Triangle,false,35,1000,1,2,2,819,181,0.456,0.183,0.181,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,36,0,32,Triangle,false,36,1000,1,2,2,824,176,0.44,0.177,0.176,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,37,0,34,Triangle,false,37,1000,1,2,2,816,184,0.454,0.186,0.184,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,38,0,37,Triangle,false,38,1000,1,2,2,835,165,0.45,0.166,0.165,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,39,0,37,Triangle,false,39,1000,1,2,2,825,175,0.451,0.18,0.175,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,40,0,38,Triangle,false,40,1000,1,2,2,827,173,0.433,0.177,0.173,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,41,0,38,Triangle,false,41,1000,1,2,2,812,188,0.456,0.193,0.188,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,42,0,39,Triangle,false,42,1000,1,2,2,840,160,0.451,0.167,0.16,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,43,0,40,Triangle,false,43,1000,1,2,2,821,179,0.468,0.179,0.179,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,44,0,41,Triangle,false,44,1000,1,2,2,813,187,0.444,0.188,0.187,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,45,0,42,Triangle,false,45,1000,1,2,2,815,185,0.431,0.187,0.185,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,46,0,42,Triangle,false,46,1000,1,2,2,821,179,0.472,0.182,0.179,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,47,0,42,Triangle,false,47,1000,1,2,2,833,167,0.449,0.172,0.167,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,48,0,43,Triangle,false,48,1000,1,2,2,815,185,0.436,0.186,0.185,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,49,0,43,Triangle,false,49,1000,1,2,2,827,173,0.451,0.177,0.173,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,50,0,44,Triangle,false,50,1000,1,2,2,833,167,0.463,0.169,0.167,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,51,0,46,Triangle,false,51,1000,1,2,2,809,191,0.477,0.197,0.191,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,52,0,46,Triangle,false,52,1000,1,2,2,809,191,0.447,0.192,0.191,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,53,0,47,Triangle,false,53,1000,1,2,2,829,171,0.435,0.172,0.171,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,54,0,48,Triangle,false,54,1000,1,2,2,829,171,0.418,0.172,0.171,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,55,0,49,Triangle,false,55,1000,1,2,2,822,178,0.454,0.18,0.178,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,56,0,50,Triangle,false,56,1000,1,2,2,818,182,0.447,0.183,0.182,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,57,0,51,Triangle,false,57,1000,1,2,2,817,183,0.476,0.186,0.183,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,58,0,52,Triangle,false,58,1000,1,2,2,816,184,0.448,0.186,0.184,2,0,,15
same-r3-warm,true,auto,sona,euclidean,false,59,0,53,Triangle,false,59,1000,1,2,2,820,180,0.47,0.183,0.18,2,0,,15
