label,vectorMemory,reranker,adapter,index,dynamics,archiveBrains,archiveTracks,archiveObservations,trackLabel,cold,gen,popN,medCheckpoints,p90Checkpoints,maxCheckpoints,wallBumps,stillAlive,survival5s,survival10s,survivalEnd,bestFitness,bestLaps,bestLapMin,genSeconds
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,30,0,26,Rectangle,false,30,1000,0,0,2,359,641,0.653,0.645,0.641,2,0,,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,31,0,27,Rectangle,false,31,1000,0,0,2,359,641,0.658,0.646,0.641,2,0,,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,32,0,29,Rectangle,false,32,1000,0,1,3,371,629,0.639,0.633,0.629,4,1,10.52,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,33,0,30,Rectangle,false,33,1000,0,1,3,404,596,0.622,0.602,0.596,4,1,10.63,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,34,0,32,Rectangle,false,34,1000,0,1,3,388,612,0.636,0.621,0.612,4,1,10.63,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,35,0,33,Rectangle,false,35,1000,0,1,3,400,600,0.637,0.612,0.6,5,1,10.17,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,36,0,34,Rectangle,false,36,1000,0,1,3,425,575,0.608,0.582,0.575,5,1,10.18,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,37,0,35,Rectangle,false,37,1000,0,1,3,455,545,0.581,0.551,0.545,5,1,9.5,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,38,0,36,Rectangle,false,38,1000,0,1,3,460,540,0.586,0.55,0.54,5,1,10.25,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,39,0,37,Rectangle,false,39,1000,0,1,3,465,535,0.592,0.545,0.535,5,1,9.13,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,40,0,38,Rectangle,false,40,1000,0,1,3,468,532,0.579,0.539,0.532,5,1,10.25,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,41,0,39,Rectangle,false,41,1000,0,1,3,489,511,0.574,0.523,0.511,5,1,9.82,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,42,0,40,Rectangle,false,42,1000,1,1,3,496,504,0.575,0.509,0.504,5,1,9.62,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,43,0,41,Rectangle,false,43,1000,1,1,3,476,524,0.584,0.543,0.524,5,1,9.72,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,44,0,42,Rectangle,false,44,1000,1,1,3,497,503,0.572,0.52,0.503,5,1,9.63,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,45,0,43,Rectangle,false,45,1000,1,1,3,497,503,0.568,0.515,0.503,5,1,9.53,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,46,0,44,Rectangle,false,46,1000,1,1,3,505,495,0.561,0.511,0.495,5,1,9.33,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,47,0,45,Rectangle,false,47,1000,1,1,3,496,504,0.56,0.523,0.504,5,1,10.17,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,48,0,46,Rectangle,false,48,1000,1,1,3,501,499,0.559,0.51,0.499,5,1,9.2,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,49,0,47,Rectangle,false,49,1000,1,1,3,484,516,0.585,0.531,0.516,5,1,9.65,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,50,0,47,Rectangle,false,50,1000,1,1,3,511,489,0.559,0.504,0.489,5,1,9.65,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,51,0,49,Rectangle,false,51,1000,1,1,3,484,516,0.582,0.531,0.516,5,1,9.55,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,52,0,50,Rectangle,false,52,1000,1,1,3,527,473,0.535,0.489,0.473,5,1,9.43,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,53,0,50,Rectangle,false,53,1000,1,1,3,517,483,0.541,0.492,0.483,5,1,9.28,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,54,0,51,Rectangle,false,54,1000,1,1,3,464,536,0.605,0.552,0.536,5,1,8.92,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,55,0,51,Rectangle,false,55,1000,1,1,3,524,476,0.548,0.485,0.476,5,1,9.65,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,56,0,53,Rectangle,false,56,1000,1,1,3,490,510,0.565,0.518,0.51,5,1,9.05,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,57,0,54,Rectangle,false,57,1000,1,1,3,502,498,0.566,0.512,0.498,5,1,9.22,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,58,0,55,Rectangle,false,58,1000,1,1,3,466,534,0.592,0.554,0.534,5,1,9.67,15
a3-r1-rect-from-tri,true,auto,sona,euclidean,false,59,0,57,Rectangle,false,59,1000,1,1,3,494,506,0.569,0.52,0.506,5,1,9.03,15
