label,vectorMemory,reranker,adapter,index,dynamics,archiveBrains,archiveTracks,archiveObservations,trackLabel,cold,gen,popN,medCheckpoints,p90Checkpoints,maxCheckpoints,wallBumps,stillAlive,survival5s,survival10s,survivalEnd,bestFitness,bestLaps,bestLapMin,genSeconds
a3-r1-tri,true,auto,sona,euclidean,false,0,0,0,Triangle,true,0,1000,1,1,2,511,489,0.547,0.49,0.489,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,1,0,0,Triangle,true,1,1000,2,2,2,764,236,0.793,0.242,0.236,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,2,0,1,Triangle,true,2,1000,2,2,2,763,237,0.784,0.239,0.237,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,3,0,2,Triangle,true,3,1000,2,2,2,767,233,0.786,0.235,0.233,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,4,0,3,Triangle,true,4,1000,2,2,2,759,241,0.795,0.245,0.241,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,5,0,4,Triangle,true,5,1000,2,2,2,779,221,0.771,0.222,0.221,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,6,0,5,Triangle,true,6,1000,2,2,2,770,230,0.776,0.233,0.23,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,7,0,6,Triangle,true,7,1000,2,2,2,763,237,0.798,0.241,0.237,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,8,0,7,Triangle,true,8,1000,2,2,2,784,216,0.767,0.219,0.216,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,9,0,8,Triangle,true,9,1000,2,2,2,783,217,0.781,0.22,0.217,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,10,0,9,Triangle,true,10,1000,2,2,2,779,221,0.77,0.226,0.221,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,11,0,10,Triangle,true,11,1000,2,2,2,788,212,0.772,0.218,0.212,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,12,0,11,Triangle,true,12,1000,2,2,2,776,224,0.771,0.226,0.224,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,13,0,12,Triangle,true,13,1000,2,2,2,763,237,0.784,0.24,0.237,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,14,0,13,Triangle,true,14,1000,2,2,2,770,230,0.774,0.234,0.23,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,15,0,14,Triangle,true,15,1000,2,2,2,764,236,0.786,0.242,0.236,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,16,0,15,Triangle,true,16,1000,2,2,2,771,229,0.779,0.234,0.229,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,17,0,15,Triangle,true,17,1000,2,2,2,763,237,0.783,0.238,0.237,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,18,0,16,Triangle,true,18,1000,2,2,2,773,227,0.771,0.229,0.227,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,19,0,18,Triangle,true,19,1000,2,2,2,767,233,0.773,0.237,0.233,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,20,0,18,Triangle,true,20,1000,2,2,2,789,211,0.766,0.216,0.211,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,21,0,20,Triangle,true,21,1000,2,2,2,745,255,0.798,0.257,0.255,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,22,0,20,Triangle,true,22,1000,2,2,2,761,239,0.79,0.242,0.239,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,23,0,20,Triangle,true,23,1000,2,2,2,795,205,0.76,0.206,0.205,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,24,0,22,Triangle,true,24,1000,2,2,2,762,238,0.782,0.242,0.238,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,25,0,23,Triangle,true,25,1000,2,2,2,766,234,0.795,0.239,0.234,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,26,0,23,Triangle,true,26,1000,2,2,2,766,234,0.787,0.238,0.234,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,27,0,24,Triangle,true,27,1000,2,2,2,773,227,0.784,0.233,0.227,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,28,0,25,Triangle,true,28,1000,2,2,2,762,238,0.785,0.241,0.238,2,0,,15
a3-r1-tri,true,auto,sona,euclidean,false,29,0,26,Triangle,true,29,1000,2,2,2,771,229,0.769,0.231,0.229,2,0,,15
