label,vectorMemory,reranker,adapter,index,dynamics,archiveBrains,archiveTracks,archiveObservations,trackLabel,cold,gen,popN,medCheckpoints,p90Checkpoints,maxCheckpoints,wallBumps,stillAlive,survival5s,survival10s,survivalEnd,bestFitness,bestLaps,bestLapMin,genSeconds
a3-r3-rect,true,auto,sona,euclidean,false,0,0,0,Rectangle,true,0,1000,0,1,1,489,511,0.527,0.517,0.511,1,0,,15
a3-r3-rect,true,auto,sona,euclidean,false,1,0,0,Rectangle,true,1,1000,1,1,2,755,245,0.252,0.247,0.245,2,0,,15
a3-r3-rect,true,auto,sona,euclidean,false,2,0,1,Rectangle,true,2,1000,1,1,3,555,445,0.464,0.45,0.445,3,0,,15
a3-r3-rect,true,auto,sona,euclidean,false,3,0,2,Rectangle,true,3,1000,1,1,3,575,425,0.48,0.436,0.425,4,1,10.43,15
a3-r3-rect,true,auto,sona,euclidean,false,4,0,3,Rectangle,true,4,1000,1,1,3,579,421,0.469,0.43,0.421,4,1,10.07,15
a3-r3-rect,true,auto,sona,euclidean,false,5,0,4,Rectangle,true,5,1000,1,1,3,554,446,0.503,0.45,0.446,5,1,10.4,15
a3-r3-rect,true,auto,sona,euclidean,false,6,0,5,Rectangle,true,6,1000,1,1,3,550,450,0.508,0.465,0.45,5,1,9.22,15
a3-r3-rect,true,auto,sona,euclidean,false,7,0,6,Rectangle,true,7,1000,1,1,3,573,427,0.507,0.442,0.427,5,1,9.13,15
a3-r3-rect,true,auto,sona,euclidean,false,8,0,7,Rectangle,true,8,1000,1,1,3,583,417,0.482,0.429,0.417,5,1,9.7,15
a3-r3-rect,true,auto,sona,euclidean,false,9,0,8,Rectangle,true,9,1000,1,1,3,530,470,0.533,0.481,0.47,5,1,9.23,15
a3-r3-rect,true,auto,sona,euclidean,false,10,0,9,Rectangle,true,10,1000,1,1,3,539,461,0.533,0.471,0.461,5,1,10.22,15
a3-r3-rect,true,auto,sona,euclidean,false,11,0,10,Rectangle,true,11,1000,1,1,3,506,494,0.571,0.509,0.494,5,1,9.12,15
a3-r3-rect,true,auto,sona,euclidean,false,12,0,11,Rectangle,true,12,1000,1,1,3,522,478,0.563,0.493,0.478,5,1,9.37,15
a3-r3-rect,true,auto,sona,euclidean,false,13,0,12,Rectangle,true,13,1000,1,1,3,552,448,0.543,0.466,0.448,5,1,9.13,15
a3-r3-rect,true,auto,sona,euclidean,false,14,0,13,Rectangle,true,14,1000,1,1,3,513,487,0.561,0.504,0.487,5,1,9.35,15
a3-r3-rect,true,auto,sona,euclidean,false,15,0,14,Rectangle,true,15,1000,1,1,3,525,475,0.554,0.489,0.475,5,1,9.9,15
a3-r3-rect,true,auto,sona,euclidean,false,16,0,15,Rectangle,true,16,1000,1,1,3,517,483,0.573,0.499,0.483,5,1,10.28,15
a3-r3-rect,true,auto,sona,euclidean,false,17,0,16,Rectangle,true,17,1000,1,1,3,504,496,0.577,0.517,0.496,5,1,9.52,15
a3-r3-rect,true,auto,sona,euclidean,false,18,0,17,Rectangle,true,18,1000,1,1,3,523,477,0.558,0.493,0.477,5,1,10.1,15
a3-r3-rect,true,auto,sona,euclidean,false,19,0,18,Rectangle,true,19,1000,1,1,3,513,487,0.564,0.502,0.487,5,1,9.32,15
a3-r3-rect,true,auto,sona,euclidean,false,20,0,19,Rectangle,true,20,1000,1,1,3,523,477,0.557,0.496,0.477,5,1,10.15,15
a3-r3-rect,true,auto,sona,euclidean,false,21,0,19,Rectangle,true,21,1000,1,1,3,491,509,0.593,0.528,0.509,5,1,9.78,15
a3-r3-rect,true,auto,sona,euclidean,false,22,0,20,Rectangle,true,22,1000,1,1,3,553,447,0.535,0.462,0.447,5,1,9.68,15
a3-r3-rect,true,auto,sona,euclidean,false,23,0,22,Rectangle,true,23,1000,1,1,3,536,464,0.543,0.48,0.464,5,1,9.22,15
a3-r3-rect,true,auto,sona,euclidean,false,24,0,23,Rectangle,true,24,1000,1,1,3,458,542,0.612,0.556,0.542,5,1,9.73,15
a3-r3-rect,true,auto,sona,euclidean,false,25,0,23,Rectangle,true,25,1000,1,1,3,541,459,0.535,0.476,0.459,5,1,9.47,15
a3-r3-rect,true,auto,sona,euclidean,false,26,0,24,Rectangle,true,26,1000,1,1,3,506,494,0.569,0.507,0.494,5,1,9.75,15
a3-r3-rect,true,auto,sona,euclidean,false,27,0,25,Rectangle,true,27,1000,1,1,3,553,447,0.52,0.468,0.447,5,1,8.9,15
a3-r3-rect,true,auto,sona,euclidean,false,28,0,25,Rectangle,true,28,1000,1,1,3,510,490,0.567,0.5,0.49,5,1,9.43,15
a3-r3-rect,true,auto,sona,euclidean,false,29,0,27,Rectangle,true,29,1000,1,1,3,526,474,0.546,0.494,0.474,5,1,9.72,15
