label,vectorMemory,reranker,adapter,index,dynamics,archiveBrains,archiveTracks,archiveObservations,trackLabel,cold,gen,popN,medCheckpoints,p90Checkpoints,maxCheckpoints,wallBumps,stillAlive,survival5s,survival10s,survivalEnd,bestFitness,bestLaps,bestLapMin,genSeconds
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,30,0,27,Triangle,false,30,1000,1,1,2,576,424,0.453,0.428,0.424,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,31,0,28,Triangle,false,31,1000,1,1,2,591,409,0.454,0.416,0.409,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,32,0,29,Triangle,false,32,1000,1,1,2,595,405,0.442,0.407,0.405,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,33,0,30,Triangle,false,33,1000,1,1,2,570,430,0.467,0.434,0.43,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,34,0,31,Triangle,false,34,1000,1,2,2,578,422,0.482,0.429,0.422,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,35,0,33,Triangle,false,35,1000,1,2,2,579,421,0.499,0.425,0.421,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,36,0,34,Triangle,false,36,1000,1,2,2,552,448,0.52,0.455,0.448,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,37,0,36,Triangle,false,37,1000,1,2,2,532,468,0.547,0.473,0.468,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,38,0,37,Triangle,false,38,1000,1,2,2,550,450,0.528,0.457,0.45,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,39,0,38,Triangle,false,39,1000,1,2,2,551,449,0.54,0.453,0.449,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,40,0,39,Triangle,false,40,1000,1,2,2,516,484,0.555,0.488,0.484,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,41,0,40,Triangle,false,41,1000,1,2,2,501,499,0.6,0.505,0.499,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,42,0,40,Triangle,false,42,1000,1,2,2,548,452,0.536,0.457,0.452,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,43,0,41,Triangle,false,43,1000,1,2,2,509,491,0.562,0.493,0.491,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,44,0,43,Triangle,false,44,1000,1,2,2,522,478,0.579,0.484,0.478,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,45,0,43,Triangle,false,45,1000,1,2,2,500,500,0.58,0.505,0.5,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,46,0,45,Triangle,false,46,1000,1,2,2,546,454,0.545,0.459,0.454,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,47,0,46,Triangle,false,47,1000,1,2,2,501,499,0.594,0.504,0.499,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,48,0,46,Triangle,false,48,1000,1,2,2,508,492,0.573,0.493,0.492,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,49,0,47,Triangle,false,49,1000,1,2,2,521,479,0.565,0.483,0.479,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,50,0,48,Triangle,false,50,1000,1,2,2,496,504,0.574,0.509,0.504,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,51,0,50,Triangle,false,51,1000,1,2,2,534,466,0.556,0.469,0.466,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,52,0,51,Triangle,false,52,1000,1,2,2,509,491,0.588,0.497,0.491,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,53,0,52,Triangle,false,53,1000,1,2,2,522,478,0.548,0.483,0.478,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,54,0,53,Triangle,false,54,1000,1,2,2,482,518,0.587,0.521,0.518,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,55,0,54,Triangle,false,55,1000,1,2,2,504,496,0.577,0.5,0.496,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,56,0,54,Triangle,false,56,1000,1,2,2,507,493,0.571,0.496,0.493,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,57,0,55,Triangle,false,57,1000,1,2,2,493,507,0.587,0.511,0.507,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,58,0,56,Triangle,false,58,1000,1,2,2,504,496,0.567,0.505,0.496,2,0,,15
a3-r3-tri-from-rect,true,auto,sona,euclidean,false,59,0,57,Triangle,false,59,1000,1,2,2,507,493,0.574,0.497,0.493,2,0,,15
