label,vectorMemory,reranker,adapter,index,dynamics,archiveBrains,archiveTracks,archiveObservations,trackLabel,cold,gen,popN,medCheckpoints,p90Checkpoints,maxCheckpoints,wallBumps,stillAlive,survival5s,survival10s,survivalEnd,bestFitness,bestLaps,bestLapMin,genSeconds
xfer-r1-tri,true,auto,sona,euclidean,false,30,1,25,Triangle,false,30,1000,1,1,2,336,664,0.697,0.665,0.664,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,31,2,27,Triangle,false,31,1000,1,1,2,378,622,0.682,0.623,0.622,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,32,2,30,Triangle,false,32,1000,1,1,2,382,618,0.703,0.62,0.618,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,33,2,32,Triangle,false,33,1000,1,2,2,404,596,0.712,0.598,0.596,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,34,2,33,Triangle,false,34,1000,1,2,2,461,539,0.674,0.539,0.539,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,35,2,34,Triangle,false,35,1000,1,2,2,471,529,0.692,0.534,0.529,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,36,2,35,Triangle,false,36,1000,1,2,2,452,548,0.714,0.552,0.548,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,37,2,36,Triangle,false,37,1000,1,2,2,538,462,0.692,0.465,0.462,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,38,2,37,Triangle,false,38,1000,1,2,2,510,490,0.707,0.497,0.49,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,39,2,38,Triangle,false,39,1000,1,2,2,537,463,0.705,0.468,0.463,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,40,2,39,Triangle,false,40,1000,1,2,2,579,421,0.695,0.423,0.421,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,41,2,40,Triangle,false,41,1000,1,2,2,595,405,0.685,0.411,0.405,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,42,2,41,Triangle,false,42,1000,1,2,2,589,411,0.678,0.419,0.411,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,43,2,41,Triangle,false,43,1000,1,2,2,578,422,0.689,0.424,0.422,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,44,2,43,Triangle,false,44,1000,1,2,2,614,386,0.68,0.393,0.386,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,45,2,44,Triangle,false,45,1000,1,2,2,593,407,0.681,0.41,0.407,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,46,2,44,Triangle,false,46,1000,1,2,2,606,394,0.66,0.399,0.394,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,47,2,45,Triangle,false,47,1000,1,2,2,596,404,0.685,0.413,0.404,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,48,2,45,Triangle,false,48,1000,1,2,2,584,416,0.692,0.421,0.416,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,49,2,47,Triangle,false,49,1000,1,2,2,564,436,0.707,0.444,0.436,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,50,2,47,Triangle,false,50,1000,1,2,2,575,425,0.679,0.431,0.425,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,51,2,48,Triangle,false,51,1000,1,2,2,607,393,0.675,0.398,0.393,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,52,2,49,Triangle,false,52,1000,1,2,2,585,415,0.675,0.42,0.415,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,53,2,51,Triangle,false,53,1000,1,2,2,602,398,0.686,0.403,0.398,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,54,2,51,Triangle,false,54,1000,1,2,2,590,410,0.697,0.413,0.41,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,55,2,52,Triangle,false,55,1000,1,2,2,563,437,0.698,0.445,0.437,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,56,2,53,Triangle,false,56,1000,1,2,2,563,437,0.691,0.443,0.437,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,57,2,55,Triangle,false,57,1000,1,2,2,593,407,0.663,0.413,0.407,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,58,2,56,Triangle,false,58,1000,1,2,2,590,410,0.682,0.418,0.41,2,0,,15
xfer-r1-tri,true,auto,sona,euclidean,false,59,2,57,Triangle,false,59,1000,1,2,2,578,422,0.712,0.424,0.422,2,0,,15
