label,vectorMemory,reranker,adapter,index,dynamics,archiveBrains,archiveTracks,archiveObservations,trackLabel,cold,gen,popN,medCheckpoints,p90Checkpoints,maxCheckpoints,wallBumps,stillAlive,survival5s,survival10s,survivalEnd,bestFitness,bestLaps,bestLapMin,genSeconds
xfer-r2-rect,true,auto,sona,euclidean,false,0,0,0,Rectangle,true,0,1000,0,1,1,504,496,0.514,0.502,0.496,1,0,,15
xfer-r2-rect,true,auto,sona,euclidean,false,1,0,0,Rectangle,true,1,1000,1,1,2,744,256,0.267,0.257,0.256,2,0,,15
xfer-r2-rect,true,auto,sona,euclidean,false,2,0,1,Rectangle,true,2,1000,1,1,2,689,311,0.369,0.318,0.311,4,1,14.38,15
xfer-r2-rect,true,auto,sona,euclidean,false,3,0,2,Rectangle,true,3,1000,1,1,3,632,368,0.433,0.375,0.368,3,0,,15
xfer-r2-rect,true,auto,sona,euclidean,false,4,0,3,Rectangle,true,4,1000,0,1,3,602,398,0.469,0.414,0.398,4,1,10.95,15
xfer-r2-rect,true,auto,sona,euclidean,false,5,0,4,Rectangle,true,5,1000,0,1,3,547,453,0.503,0.464,0.453,4,1,10.88,15
xfer-r2-rect,true,auto,sona,euclidean,false,6,0,5,Rectangle,true,6,1000,0,1,3,503,497,0.549,0.507,0.497,4,1,10.58,15
xfer-r2-rect,true,auto,sona,euclidean,false,7,0,6,Rectangle,true,7,1000,0,1,3,539,461,0.522,0.489,0.461,5,1,10.48,15
xfer-r2-rect,true,auto,sona,euclidean,false,8,0,7,Rectangle,true,8,1000,0,1,3,470,530,0.592,0.545,0.53,4,1,10.58,15
xfer-r2-rect,true,auto,sona,euclidean,false,9,0,8,Rectangle,true,9,1000,0,1,3,508,492,0.557,0.51,0.492,4,1,10.62,15
xfer-r2-rect,true,auto,sona,euclidean,false,10,0,9,Rectangle,true,10,1000,0,1,3,476,524,0.588,0.544,0.524,4,1,10.73,15
xfer-r2-rect,true,auto,sona,euclidean,false,11,0,10,Rectangle,true,11,1000,0,1,3,453,547,0.617,0.563,0.547,4,1,10.55,15
xfer-r2-rect,true,auto,sona,euclidean,false,12,0,11,Rectangle,true,12,1000,0,1,3,447,553,0.62,0.573,0.553,4,1,10.52,15
xfer-r2-rect,true,auto,sona,euclidean,false,13,0,12,Rectangle,true,13,1000,0,1,3,440,560,0.611,0.582,0.56,4,1,10.27,15
xfer-r2-rect,true,auto,sona,euclidean,false,14,0,13,Rectangle,true,14,1000,0,1,3,438,562,0.625,0.582,0.562,4,1,10.58,15
xfer-r2-rect,true,auto,sona,euclidean,false,15,0,14,Rectangle,true,15,1000,0,1,3,453,547,0.603,0.558,0.547,4,1,10.55,15
xfer-r2-rect,true,auto,sona,euclidean,false,16,0,15,Rectangle,true,16,1000,0,1,3,410,590,0.653,0.607,0.59,4,1,10.33,15
xfer-r2-rect,true,auto,sona,euclidean,false,17,0,16,Rectangle,true,17,1000,0,1,3,455,545,0.601,0.565,0.545,4,1,10.58,15
xfer-r2-rect,true,auto,sona,euclidean,false,18,0,16,Rectangle,true,18,1000,0,1,3,502,498,0.562,0.519,0.498,4,1,10.57,15
xfer-r2-rect,true,auto,sona,euclidean,false,19,0,17,Rectangle,true,19,1000,0,1,3,422,578,0.633,0.597,0.578,4,1,10.57,15
xfer-r2-rect,true,auto,sona,euclidean,false,20,0,19,Rectangle,true,20,1000,0,1,3,481,519,0.569,0.534,0.519,4,1,10.33,15
xfer-r2-rect,true,auto,sona,euclidean,false,21,0,20,Rectangle,true,21,1000,0,1,3,473,527,0.589,0.543,0.527,4,1,10.73,15
xfer-r2-rect,true,auto,sona,euclidean,false,22,0,20,Rectangle,true,22,1000,0,1,3,461,539,0.605,0.559,0.539,4,1,10.63,15
xfer-r2-rect,true,auto,sona,euclidean,false,23,0,21,Rectangle,true,23,1000,0,1,3,458,542,0.592,0.561,0.542,4,1,10.55,15
xfer-r2-rect,true,auto,sona,euclidean,false,24,0,22,Rectangle,true,24,1000,0,1,3,474,526,0.596,0.55,0.526,4,1,10.5,15
xfer-r2-rect,true,auto,sona,euclidean,false,25,0,23,Rectangle,true,25,1000,0,1,3,507,493,0.555,0.516,0.493,4,1,10.18,15
xfer-r2-rect,true,auto,sona,euclidean,false,26,0,24,Rectangle,true,26,1000,0,1,2,473,527,0.588,0.548,0.527,4,1,10.62,15
xfer-r2-rect,true,auto,sona,euclidean,false,27,0,26,Rectangle,true,27,1000,0,1,3,461,539,0.592,0.563,0.539,4,1,10.02,15
xfer-r2-rect,true,auto,sona,euclidean,false,28,0,27,Rectangle,true,28,1000,0,1,3,422,578,0.637,0.599,0.578,4,1,10.62,15
xfer-r2-rect,true,auto,sona,euclidean,false,29,0,27,Rectangle,true,29,1000,0,1,3,445,555,0.621,0.577,0.555,4,1,10.52,15
