label,vectorMemory,reranker,adapter,index,dynamics,archiveBrains,archiveTracks,archiveObservations,trackLabel,cold,gen,popN,medCheckpoints,p90Checkpoints,maxCheckpoints,wallBumps,stillAlive,survival5s,survival10s,survivalEnd,bestFitness,bestLaps,bestLapMin,genSeconds
p3-cold-tri-rep2,true,auto,sona,euclidean,false,0,0,0,Triangle,true,0,1000,1,1,2,544,456,0.531,0.46,0.456,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,1,0,0,Triangle,true,1,1000,2,2,2,808,192,0.725,0.194,0.192,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,2,0,1,Triangle,true,2,1000,2,2,2,816,184,0.732,0.187,0.184,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,3,0,2,Triangle,true,3,1000,2,2,2,810,190,0.731,0.196,0.19,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,4,0,3,Triangle,true,4,1000,2,2,2,801,199,0.761,0.204,0.199,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,5,0,4,Triangle,true,5,1000,2,2,2,816,184,0.709,0.187,0.184,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,6,0,5,Triangle,true,6,1000,2,2,2,808,192,0.726,0.199,0.192,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,7,0,6,Triangle,true,7,1000,2,2,2,825,175,0.712,0.176,0.175,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,8,0,7,Triangle,true,8,1000,2,2,2,811,189,0.741,0.192,0.189,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,9,0,8,Triangle,true,9,1000,2,2,2,826,174,0.708,0.175,0.174,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,10,0,9,Triangle,true,10,1000,2,2,2,842,158,0.718,0.158,0.158,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,11,0,10,Triangle,true,11,1000,2,2,2,812,188,0.735,0.191,0.188,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,12,0,10,Triangle,true,12,1000,2,2,2,799,201,0.749,0.202,0.201,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,13,0,11,Triangle,true,13,1000,2,2,2,815,185,0.737,0.189,0.185,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,14,0,12,Triangle,true,14,1000,2,2,2,826,174,0.724,0.175,0.174,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,15,0,13,Triangle,true,15,1000,2,2,2,825,175,0.719,0.175,0.175,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,16,0,13,Triangle,true,16,1000,2,2,2,821,179,0.748,0.184,0.179,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,17,0,16,Triangle,true,17,1000,2,2,2,803,197,0.735,0.197,0.197,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,18,0,17,Triangle,true,18,1000,2,2,2,817,183,0.724,0.185,0.183,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,19,0,18,Triangle,true,19,1000,2,2,2,818,182,0.719,0.184,0.182,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,20,0,19,Triangle,true,20,1000,2,2,2,825,175,0.729,0.179,0.175,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,21,0,20,Triangle,true,21,1000,2,2,2,810,190,0.748,0.193,0.19,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,22,0,20,Triangle,true,22,1000,2,2,2,815,185,0.743,0.189,0.185,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,23,0,20,Triangle,true,23,1000,2,2,2,810,190,0.72,0.192,0.19,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,24,0,21,Triangle,true,24,1000,2,2,2,819,181,0.745,0.186,0.181,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,25,0,23,Triangle,true,25,1000,2,2,2,816,184,0.735,0.185,0.184,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,26,0,24,Triangle,true,26,1000,2,2,2,774,226,0.768,0.228,0.226,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,27,0,25,Triangle,true,27,1000,2,2,2,828,172,0.721,0.172,0.172,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,28,0,25,Triangle,true,28,1000,2,2,2,812,188,0.724,0.191,0.188,2,0,,15
p3-cold-tri-rep2,true,auto,sona,euclidean,false,29,0,25,Triangle,true,29,1000,2,2,2,814,186,0.753,0.189,0.186,2,0,,15
